| T     17 | Fr      1280 | Ep      0 | Up      1 | RMe    0.00 | RSd    0.00 | RMa    0.00 | RMi    0.00 | Pl   -0.026 | Vl    0.020 | El 0.0301 | Gr    0.486 | Fps    75 |
| T    412 | Fr    128000 | Ep    528 | Up    100 | RMe    1.38 | RSd    1.16 | RMa    5.00 | RMi    0.00 | Pl    0.084 | Vl    0.031 | El 0.0294 | Gr    0.228 | Fps   310 |
| T    812 | Fr    256000 | Ep   1064 | Up    200 | RMe    1.14 | RSd    0.97 | RMa    5.00 | RMi    0.00 | Pl    0.134 | Vl    0.035 | El 0.0303 | Gr    0.325 | Fps   315 |
| T   1206 | Fr    384000 | Ep   1600 | Up    300 | RMe    1.20 | RSd    1.17 | RMa    6.00 | RMi    0.00 | Pl   -0.216 | Vl    0.014 | El 0.0305 | Gr    0.269 | Fps   318 |
| T   1599 | Fr    512000 | Ep   2128 | Up    400 | RMe    0.99 | RSd    0.94 | RMa    4.00 | RMi    0.00 | Pl   -0.098 | Vl    0.016 | El 0.0302 | Gr    0.124 | Fps   320 |
| T   1988 | Fr    640000 | Ep   2664 | Up    500 | RMe    0.90 | RSd    0.96 | RMa    4.00 | RMi    0.00 | Pl   -0.073 | Vl    0.035 | El 0.0301 | Gr    0.090 | Fps   321 |
| T   2369 | Fr    768000 | Ep   3200 | Up    600 | RMe    1.04 | RSd    0.95 | RMa    5.00 | RMi    0.00 | Pl    0.146 | Vl    0.050 | El 0.0301 | Gr    0.231 | Fps   324 |
| T   2755 | Fr    896000 | Ep   3728 | Up    700 | RMe    1.23 | RSd    1.17 | RMa    6.00 | RMi    0.00 | Pl    0.413 | Vl    0.041 | El 0.0300 | Gr    0.592 | Fps   325 |
| T   3152 | Fr   1024000 | Ep   4264 | Up    800 | RMe    1.27 | RSd    1.12 | RMa    5.00 | RMi    0.00 | Pl   -0.168 | Vl    0.037 | El 0.0301 | Gr    0.280 | Fps   324 |
| T   3560 | Fr   1152000 | Ep   4800 | Up    900 | RMe    1.09 | RSd    1.05 | RMa    4.00 | RMi    0.00 | Pl   -0.255 | Vl    0.033 | El 0.0300 | Gr    0.346 | Fps   323 |
| T   3970 | Fr   1280000 | Ep   5328 | Up   1000 | RMe    1.20 | RSd    0.94 | RMa    4.00 | RMi    0.00 | Pl    0.154 | Vl    0.025 | El 0.0294 | Gr    0.368 | Fps   322 |
| T   4368 | Fr   1408000 | Ep   5864 | Up   1100 | RMe    1.12 | RSd    1.00 | RMa    4.00 | RMi    0.00 | Pl   -0.082 | Vl    0.046 | El 0.0302 | Gr    0.057 | Fps   322 |
| T   4770 | Fr   1536000 | Ep   6400 | Up   1200 | RMe    1.24 | RSd    1.11 | RMa    6.00 | RMi    0.00 | Pl    0.031 | Vl    0.062 | El 0.0302 | Gr    0.098 | Fps   322 |
